carID,Make,Model,Type,Drive,Retail Price,DealerCost,EngineSize,Cyl,HP,MPG,City MPG,Hwy MPG,Weight,WheelBase,Len,Width
Car_24,Audi ,TT 1.8 convertible 2dr (coupe),Sports,RWD,35940,32512,1.8,4,180,24,20,28,3131,95,159,73
Car_25,Audi ,TT 1.8 Quattro 2dr (convertible),Sports,AWD,37390,33891,1.8,4,225,24,20,28,2921,96,159,73
Car_26,Audi ,TT 3.2 coupe 2dr (convertible),Sports,AWD,40590,36739,3.2,6,250,25,21,29,3351,96,159,73
Car_27,BMW ,325Ci 2dr,Sedan,RWD,30795,28245,2.5,6,184,24.5,20,29,3197,107,177,69
Car_28,BMW ,325Ci convertible 2dr,Sedan,RWD,37995,34800,2.5,6,184,23,19,27,3560,107,177,69
Car_29,BMW ,325i 4dr,Sedan,RWD,28495,26155,2.5,6,184,24.5,20,29,3219,107,176,69
Car_30,BMW ,325xi 4dr,Sedan,AWD,30245,27745,2.5,6,184,23,19,27,3461,107,176,69
Car_31,BMW ,325xi Sport,Wagon,AWD,32845,30110,2.5,6,184,22.5,19,26,3594,107,176,69
Car_32,BMW ,330Ci 2dr,Sedan,RWD,36995,33890,3,6,225,25,20,30,3285,107,176,69
Car_33,BMW ,330Ci convertible 2dr,Sedan,RWD,44295,40530,3,6,225,23.5,19,28,3616,107,177,69
Car_34,BMW ,330i 4dr,Sedan,RWD,35495,32525,3,6,225,25,20,30,3285,107,176,69
Car_35,BMW ,330xi 4dr,Sedan,AWD,37245,34115,3,6,225,24.5,20,29,3483,107,176,69
Car_36,BMW ,525i 4dr,Sedan,RWD,39995,36620,2.5,6,184,23.5,19,28,3428,114,191,73
Car_37,BMW ,530i 4dr,Sedan,RWD,44995,41170,3,6,225,25,20,30,3472,114,191,73
Car_38,BMW ,545iA 4dr,Sedan,RWD,54995,50270,4.4,8,325,22,18,26,3814,114,191,73
Car_39,BMW ,745i 4dr,Sedan,RWD,69195,63190,4.4,8,325,22,18,26,4376,118,198,75
Car_40,BMW ,745Li 4dr,Sedan,RWD,73195,66830,4.4,8,325,22,18,26,4464,123,204,75
Car_41,BMW ,M3 convertible 2dr,Sports,RWD,56595,51815,3.2,6,333,19.5,16,23,3781,108,177,70
Car_42,BMW ,M3 coupe 2dr,Sports,RWD,48195,44170,3.2,6,333,20,16,24,3415,108,177,70
Car_43,BMW ,X3 3.0i,SUV,AWD,37000,33873,3,6,225,19.5,16,23,4023,110,180,73
Car_44,BMW ,X5 4.4i,SUV,AWD,52195,47720,4.4,8,325,19,16,22,4824,111,184,74
Car_45,BMW ,Z4 convertible 2.5i 2dr,Sports,RWD,33895,31065,2.5,6,184,24,20,28,2932,98,161,70
Car_46,BMW ,Z4 convertible 3.0i 2dr,Sports,RWD,41045,37575,3,6,225,25,21,29,2998,98,161,70
Car_47,Buick ,Century Custom 4dr,Sedan,RWD,22180,20351,3.1,6,175,25,20,30,3353,109,195,73
Car_48,Buick ,LeSabre Custom 4dr,Sedan,RWD,26470,24282,3.8,6,205,24.5,20,29,3567,112,200,74
Car_49,Buick ,LeSabre Limited 4dr,Sedan,RWD,32245,29566,3.8,6,205,24.5,20,29,3591,112,200,74
Car_50,Buick ,Park Avenue 4dr,Sedan,RWD,35545,32244,3.8,6,205,24.5,20,29,3778,114,207,75
Car_51,Buick ,Park Avenue Ultra 4dr,Sedan,RWD,40720,36927,3.8,6,240,23,18,28,3909,114,207,75
Car_52,Buick ,Rainier,SUV,AWD,37895,34357,4.2,6,275,18,15,21,4600,113,193,75
Car_53,Buick ,Regal GS 4dr,Sedan,RWD,28345,26047,3.8,6,240,23,18,28,3536,109,196,73
Car_54,Buick ,Regal LS 4dr,Sedan,RWD,24895,22835,3.8,6,200,25,20,30,3461,109,196,73
Car_55,Buick ,Rendezvous CX,SUV,RWD,26545,24085,3.4,6,185,22.5,19,26,4024,112,187,74
Car_56,Cadillac ,CTS VVT 4dr,Sedan,RWD,30835,28575,3.6,6,255,21.5,18,25,3694,113,190,71
Car_57,Cadillac ,Deville 4dr,Sedan,RWD,45445,41650,4.6,8,275,22,18,26,3984,115,207,74
Car_58,Cadillac ,Deville DTS 4dr,Sedan,RWD,50595,46362,4.6,8,300,22,18,26,4044,115,207,74
Car_59,Cadillac ,Escalade EXT,Pickup,AWD,52975,48541,6,8,345,15,13,17,5879,130,*,*
Car_60,Cadillac ,Escaladet,SUV,RWD,52795,48377,5.3,8,295,16,14,18,5367,116,199,79
Car_61,Cadillac ,Seville SLS 4dr,Sedan,RWD,47955,43841,4.6,8,275,22,18,26,3992,112,201,75
Car_62,Cadillac ,SRX V8,SUV,RWD,46995,43523,4.6,8,320,18.5,16,21,4302,116,195,73
Car_63,Cadillac ,XLR convertible 2dr,Sports,RWD,76200,70546,4.6,8,320,21,17,25,3647,106,178,72
Car_64,Chevrolet ,Astro,Minivan,AWD,26395,23954,4.3,6,190,15.5,14,17,4605,111,190,78
Car_65,Chevrolet ,Avalanche 1500,Pickup,AWD,36100,31689,5.3,8,295,16,14,18,5678,130,*,*
Car_66,Chevrolet ,Aveo 4dr,Sedan,RWD,11690,10965,1.6,4,103,31,28,34,2370,98,167,66
Car_67,Chevrolet ,Aveo LS 4dr hatch,Sedan,RWD,12585,11802,1.6,4,103,31,28,34,2348,98,153,66
Car_68,Chevrolet ,Cavalier 2dr,Sedan,RWD,14610,13697,2.2,4,140,31.5,26,37,2617,104,183,69
Car_69,Chevrolet ,Cavalier 4dr,Sedan,RWD,14810,13884,2.2,4,140,31.5,26,37,2676,104,183,68
Car_70,Chevrolet ,Cavalier LS 2dr,Sedan,RWD,16385,15357,2.2,4,140,31.5,26,37,2617,104,183,69
Car_71,Chevrolet ,Colorado Z85,Pickup,AWD,18760,17070,2.8,4,175,20.5,18,23,3623,111,*,*
Car_72,Chevrolet ,Corvette 2dr,Sports,RWD,44535,39068,5.7,8,350,21.5,18,25,3246,105,180,74
Car_73,Chevrolet ,Corvette convertible 2dr,Sports,RWD,51535,45193,5.7,8,350,21.5,18,25,3248,105,180,74
Car_74,Chevrolet ,Impala 4dr,Sedan,RWD,21900,20095,3.4,6,180,26.5,21,32,3465,111,200,73
Car_75,Chevrolet ,Impala LS 4dr,Sedan,RWD,25000,22931,3.8,6,200,25,20,30,3476,111,200,73
Car_76,Chevrolet ,Impala SS 4dr,Sedan,RWD,27995,25672,3.8,6,240,23,18,28,3606,111,200,73
Car_77,Chevrolet ,Malibu 4dr,Sedan,RWD,18995,17434,2.2,4,145,29,24,34,3174,106,188,70
Car_78,Chevrolet ,Malibu LS 4dr,Sedan,RWD,20370,18639,3.5,6,200,26,22,30,3297,106,188,70
Car_79,Chevrolet ,Malibu LT 4dr,Sedan,RWD,23495,21551,3.5,6,200,27.5,23,32,3315,106,188,70
Car_80,Chevrolet ,Malibu Maxx LS,Wagon,RWD,22225,20394,3.5,6,200,26,22,30,3458,112,188,70
Car_81,Chevrolet ,Monte Carlo LS 2dr,Sedan,RWD,21825,20026,3.4,6,180,26.5,21,32,3340,111,198,73
Car_82,Chevrolet ,Monte Carlo SS 2dr,Sedan,RWD,24225,22222,3.8,6,200,23,18,28,3434,111,198,73
Car_83,Chevrolet ,Silverado 1500 Regular Cab,Pickup,RWD,20310,18480,4.3,6,200,18,15,21,4142,119,*,*
Car_84,Chevrolet ,Silverado SS,Pickup,AWD,40340,35399,6,8,300,15,13,17,4804,144,*,*
Car_85,Chevrolet ,SSR,Pickup,RWD,41995,39306,5.3,8,300,17.5,16,19,4760,116,*,*
Car_86,Chevrolet ,Suburban 1500 LT,SUV,RWD,42735,37422,5.3,8,295,16,14,18,4947,130,219,79
Car_87,Chevrolet ,Tahoe LT,SUV,AWD,41465,36287,5.3,8,295,16,14,18,5050,116,197,79
Car_88,Chevrolet ,Tracker,SUV,RWD,20255,19108,2.5,6,165,20.5,19,22,2866,98,163,67
Car_89,Chevrolet ,TrailBlazer LT,SUV,RWD,30295,27479,4.2,6,275,18.5,16,21,4425,113,192,75
Car_90,Chevrolet ,Venture LS,Minivan,RWD,27020,24518,3.4,6,185,22.5,19,26,3699,112,187,72
Car_91,Chrvsler ,PT Cruiser GT 4dr,Sedan,RWD,25955,24172,2.4,4,220,24,21,27,3217,103,169,67
Car_92,Chrysler ,300M 4dr,Sedan,RWD,29865,27797,3.5,6,250,22.5,18,27,3581,113,198,74
Car_93,Chrysler ,300M Special Edition 4dr,Sedan,RWD,33295,30884,3.5,6,255,22.5,18,27,3650,113,198,74
Car_94,Chrysler ,Concorde LX 4dr,Sedan,RWD,24130,22452,2.7,6,200,25,21,29,3479,113,208,74
Car_95,Chrysler ,Concorde LXi 4dr,Sedan,RWD,26860,24909,3.5,6,232,23,19,27,3548,113,208,74
Car_96,Chrysler ,Crossfire 2dr,Sports,RWD,34495,32033,3.2,6,215,21,17,25,3060,95,160,70
Car_97,Chrysler ,Pacifica,Wagon,RWD,31230,28725,3.5,6,250,20,17,23,4675,116,199,79
Car_98,Chrysler ,PT Cruiser 4dr,Sedan,RWD,17985,16919,2.4,4,150,25.5,22,29,3101,103,169,67
Car_99,Chrysler ,PT Cruiser Limited 4dr,Sedan,RWD,22000,20573,2.4,4,150,25.5,22,29,3105,103,169,67
Car_100,Chrysler ,Sebring 4dr,Sedan,RWD,19090,17805,2.4,4,150,26,22,30,3173,108,191,71
Car_101,Chrysler ,Sebring convertible 2dr,Sedan,RWD,25215,23451,2.4,4,150,26,22,30,3357,106,194,64
Car_102,Chrysler ,Sebring Limited convertible 2dr,Sedan,RWD,30950,28613,2.7,6,200,24.5,21,28,3448,106,194,69
Car_103,Chrysler ,Sebring Touring 4dr,Sedan,RWD,21840,20284,2.7,6,200,24.5,21,28,3222,108,191,71
Car_104,Chrysler ,Town and Country Limited,Minivan,RWD,38380,35063,3.8,6,215,21.5,18,25,4331,119,201,79
Car_105,Chrysler ,Town and Country LX,Minivan,RWD,27490,25371,3.3,6,180,22.5,19,26,4068,119,201,79
Car_106,CMC ,Yukon 1500 SLE,SUV,RWD,35725,31361,4.8,8,285,17.5,16,19,5042,116,199,79
Car_107,Dodge ,Caravan SE,Minivan,RWD,21795,20508,2.4,4,150,23,20,26,3862,113,189,79
Car_108,Dodge ,Dakota Club Cab,Pickup,RWD,20300,18670,3.7,6,210,19,16,22,3829,131,*,*
Car_109,Dodge ,Dakota Regular Cab,Pickup,RWD,17630,16264,3.7,6,210,19,16,22,3714,112,*,*
Car_110,Dodge ,Durango SLT,SUV,AWD,32235,29472,4.7,8,230,18,15,21,4987,119,201,76
Car_111,Dodge ,Grand Caravan SXT,Minivan,AWD,32660,29812,3.8,6,215,21.5,18,25,4440,119,201,79
Car_112,Dodge ,Intrepid ES 4dr,Sedan,RWD,24885,23058,3.5,6,232,22.5,18,27,3487,113,204,75
Car_113,Dodge ,Intrepid SE 4dr,Sedan,RWD,22035,20502,2.7,6,200,25,21,29,3469,113,204,75
Car_114,Dodge ,Neon SE 4dr,Sedan,RWD,13670,12849,2,4,132,32.5,29,36,2581,105,174,67
Car_115,Dodge ,Neon SXT 4dr,Sedan,RWD,15040,14086,2,4,132,32.5,29,36,2626,105,174,67
Car_116,Dodge ,Ram 1500 Regular Cab ST,Pickup,RWD,20215,18076,3.7,6,215,18.5,16,21,4542,121,*,*
Car_117,Dodge ,Stratus SE 4dr,Sedan,RWD,20220,18821,2.4,4,150,24.5,21,28,3175,108,191,71
Car_118,Dodge ,Stratus SXT 4dr,Sedan,RWD,18820,17512,2.4,4,150,24.5,21,28,3182,108,191,71
Car_119,Dodge ,Viper SRT-10 convertible 2dr,Sports,RWD,81795,74451,8.3,10,500,21,*,*,3410,99,176,75
Car_120,Ford ,Crown Victoria 4dr,Sedan,RWD,24345,22856,4.6,8,224,21,17,25,4057,115,212,78
Car_121,Ford ,Crown Victoria LX 4dr,Sedan,RWD,27370,25105,4.6,8,224,21,17,25,4057,115,212,78
Car_122,Ford ,Crown Victoria LX Sport 4dr,Sedan,RWD,30315,27756,4.6,8,239,21,17,25,4057,115,212,78
Car_123,Ford ,Escape XLS,SUV,AWD,22515,20907,3,6,201,20.5,18,23,3346,103,173,70
Car_124,Ford ,Excursion 6.8 XLT,SUV,AWD,41475,36494,6.8,10,310,21,*,*,7190,137,227,80
Car_125,Ford ,Expedition 4.6 XLT,SUV,RWD,34560,30468,4.6,8,232,17,15,19,5000,119,206,79
Car_126,Ford ,Explorer XLT V6,SUV,AWD,29670,26983,4,6,210,17.5,15,20,4463,114,190,72
Car_127,Ford ,F-150 Regular Cab XL,Pickup,RWD,22010,19490,4.6,8,231,17,15,19,4788,126,*,*
Car_128,Ford ,F-150 Supercab Lariat,Pickup,AWD,33540,29405,5.4,8,300,16,14,18,5464,133,*,*
Car_129,Ford ,Focus LX 4dr,Sedan,RWD,13730,12906,2,4,110,31.5,27,36,2606,103,168,67
Car_130,Ford ,Focus SE 4dr,Sedan,RWD,15460,14496,2,4,130,29.5,26,33,2606,103,168,67
Car_131,Ford ,Focus SVT 2dr,Sedan,RWD,19135,17878,2,4,170,24.5,21,28,2750,103,168,67
Car_132,Ford ,Focus ZTW,Wagon,RWD,17475,16375,2,4,130,29.5,26,33,2702,103,178,67
Car_133,Ford ,Focus ZX3 2dr hatch,Sedan,RWD,13270,12482,2,4,130,29.5,26,33,2612,103,168,67
Car_134,Ford ,Focus ZX5 5dr,Sedan,RWD,15580,14607,2,4,130,29.5,26,33,2691,103,168,67
Car_135,Ford ,Freestar SE,Minivan,RWD,26930,24498,3.9,6,193,20,17,23,4275,121,201,77
Car_136,Ford ,Mustang 2dr (convertible),Sports,RWD,18345,16943,3.8,6,193,24.5,20,29,3290,101,183,73
Car_137,Ford ,Mustang GT Premium convertible 2dr,Sports,RWD,29380,26875,4.6,8,260,21,17,25,3347,101,183,73
Car_138,Ford ,Ranger 2.3 XL Regular Cab,Pickup,RWD,14385,13717,2.3,4,143,26.5,24,29,3028,111,*,*
Car_139,Ford ,Taurus LX 4dr,Sedan,RWD,20320,18881,3,6,155,23.5,20,27,3306,109,198,73
Car_140,Ford ,Taurus SE,Wagon,RWD,22290,20457,3,6,155,22.5,19,26,3497,109,198,73
Car_141,Ford ,Taurus SES Duratec 4dr,Sedan,RWD,22735,20857,3,6,201,22.5,19,26,3313,109,198,73
Car_142,Ford ,Thunderbird Deluxe convert w/hardtop 2dr,Sports,RWD,37530,34483,3.9,8,280,20.5,17,24,3780,107,186,72
Car_143,GMC ,Canyon Z85 SL Regular Cab,Pickup,RWD,16530,14877,2.8,4,175,21.5,19,24,3351,111,*,*
Car_144,GMC ,Envoy XUV SLE,SUV,RWD,31890,28922,4.2,6,275,17,15,19,4945,129,208,75
Car_145,GMC ,Safari SLE,Minivan,RWD,25640,23215,4.3,6,190,18,16,20,4309,111,190,78
Car_146,GMC ,Sierra Extended Cab 1500,Pickup,RWD,25717,22604,4.8,8,285,18.5,17,20,4548,144,*,*
Car_147,GMC ,Sierra HD 2500,Pickup,AWD,29322,25759,6,8,300,21,*,*,5440,133,*,*
Car_148,GMC ,Sonoma Crew Cab,Pickup,AWD,25395,23043,4.3,6,190,17,15,19,4083,123,*,*
Car_149,GMC ,Yukon XL 2500 SLT,SUV,AWD,46265,40534,6,8,325,15,13,17,6133,130,219,79
Car_150,Honda ,Accord EX 2dr,Sedan,RWD,22260,20080,2.4,4,160,30,26,34,3047,105,188,71
Car_151,Honda ,Accord EX V6 2dr,Sedan,RWD,26960,24304,3,6,240,25.5,21,30,3294,105,188,71
Car_152,Honda ,Accord LX 2dr,Sedan,RWD,19860,17924,2.4,4,160,30,26,34,2994,105,188,71
Car_153,Honda ,Accord LX V6 4dr,Sedan,RWD,23760,21428,3,6,240,25.5,21,30,3349,108,190,72
Car_154,Honda ,Civic DX 2dr,Sedan,RWD,13270,12175,1.7,4,115,35,32,38,2432,103,175,67
Car_155,Honda ,Civic EX 4dr,Sedan,RWD,17750,16265,1.7,4,127,34.5,32,37,2601,103,175,68
Car_156,Honda ,Civic HX 2dr,Sedan,RWD,14170,12996,1.7,4,117,40,36,44,2500,103,175,67
Car_157,Honda ,Civic Hybrid 4dr manual (gas/electric),Sedan,RWD,20140,18451,1.4,4,93,48.5,46,51,2732,103,175,68
Car_158,Honda ,Civic LX 4dr,Sedan,RWD,15850,14531,1.7,4,115,35,32,38,2513,103,175,68
Car_159,Honda ,Civic Si 2dr hatch,Sedan,RWD,19490,17849,2,4,160,28,26,30,2782,101,166,67
Car_160,Honda ,CR-V LX,SUV,AWD,19860,18419,2.4,4,160,23,21,25,3258,103,179,70
Car_161,Honda ,Element LX,SUV,AWD,18690,17334,2.4,4,160,22.5,21,24,3468,101,167,72
Car_162,Honda ,Insight 2dr (gas/electric),Sedan,RWD,19110,17911,2,3,73,63,60,66,1850,95,155,67
Car_163,Honda ,Odyssey EX,Minivan,RWD,27450,24744,3.5,6,240,21.5,18,25,4365,118,201,76
Car_164,Honda ,Odyssey LX,Minivan,RWD,24950,22498,3.5,6,240,21.5,18,25,4310,118,201,76
Car_165,Honda ,Pilot LX,SUV,AWD,27560,24843,3.5,6,240,19.5,17,22,4387,106,188,77
Car_166,Honda ,S2000 convertible 2dr,Sports,RWD,33260,29965,2.2,4,240,22.5,20,25,2835,95,162,69
Car_167,Hummer ,H2,SUV,AWD,49995,45815,6,8,316,11,10,12,6400,123,190,81
Car_168,Hyundai ,Accent 2dr hatch,Sedan,RWD,10539,10107,1.6,4,103,31,29,33,2255,96,167,66
Car_169,Hyundai ,Accent GL 4dr,Sedan,RWD,11839,11116,1.6,4,103,31,29,33,2290,96,167,66
Car_170,Hyundai ,Accent GT 2dr hatch,Sedan,RWD,11939,11209,1.6,4,103,31,29,33,2339,96,167,66
Car_171,Hyundai ,Elantra GLS 4dr,Sedan,RWD,13839,12781,2,4,138,30,26,34,2635,103,178,68
Car_172,Hyundai ,Elantra GT 4dr,Sedan,RWD,15389,14207,2,4,138,30,26,34,2635,103,178,68
Car_173,Hyundai ,Elantra GT 4dr hatch,Sedan,RWD,15389,14207,2,4,138,30,26,34,2698,103,178,68
Car_174,Hyundai ,Santa Fe GLS,SUV,RWD,21589,20201,2.7,6,173,23,20,26,3549,103,177,73
Car_175,Hyundai ,Sonata GLS 4dr,Sedan,RWD,19339,17574,2.7,6,170,23,19,27,3217,106,187,72
Car_176,Hyundai ,Sonata LX 4dr,Sedan,RWD,20339,18380,2.7,6,170,23,19,27,3217,106,187,72
Car_177,Hyundai ,Tiburon GT V6 2dr,Sports,RWD,18739,17101,2.7,6,172,22.5,19,26,3023,100,173,69
Car_178,Hyundai ,XG350 4dr,Sedan,RWD,24589,22055,3.5,6,194,21.5,17,26,3651,108,192,72
Car_179,Hyundai ,XG350 L 4dr,Sedan,RWD,26189,23486,3.5,6,194,21.5,17,26,3651,108,192,72
Car_180,Infiniti ,FX35,Wagon,RWD,34895,31756,3.5,6,280,19,16,22,4056,112,189,76
Car_181,Infiniti ,FX45,Wagon,AWD,36395,33121,4.5,8,315,17,15,19,4309,112,189,76
Car_182,Infiniti ,G35 4dr,Sedan,RWD,28495,26157,3.5,6,260,22,18,26,3336,112,187,69
Car_183,Infiniti ,G35 4dr,Sedan,AWD,32445,29783,3.5,6,260,22,18,26,3677,112,187,69
Car_184,Infiniti ,G35 Sport Coupe 2dr,Sedan,RWD,29795,27536,3.5,6,280,22,18,26,3416,112,182,72
Car_185,Infiniti ,I35 4dr,Sedan,RWD,31145,28320,3.5,6,255,22.5,19,26,3306,108,194,70
Car_186,Infiniti ,M45 4dr,Sedan,RWD,42845,38792,4.5,8,340,20,17,23,3851,110,197,70
Car_187,Infiniti ,Q45 Luxury 4dr,Sedan,RWD,52545,47575,4.5,8,340,20,17,23,3977,113,200,73
Car_188,Isuzu ,Ascender S,SUV,AWD,31849,29977,4.2,6,275,17.5,15,20,4967,129,208,76
Car_189,Isuzu ,Rodeo S,SUV,RWD,20449,19261,3.2,6,193,19,17,21,3836,106,178,70
Car_190,Jaguar ,S-Type 3.0 4dr,Sedan,RWD,43895,40004,3,6,235,22,18,26,3777,115,192,72
Car_191,Jaguar ,S-Type 4.2 4dr,Sedan,RWD,49995,45556,4.2,8,294,23,18,28,3874,115,192,72
Car_192,Jaguar ,S-Type R 4dr,Sedan,RWD,63120,57499,4.2,8,390,20.5,17,24,4046,115,192,72
Car_193,Jaguar ,Vanden Plas 4dr,Sedan,RWD,68995,62846,4.2,8,294,23,18,28,3803,119,200,73
Car_194,Jaguar ,XJ8 4dr,Sedan,RWD,59995,54656,4.2,8,294,23,18,28,3803,119,200,73
Car_195,Jaguar ,XJR 4dr,Sedan,RWD,74995,68306,4.2,8,390,20.5,17,24,3948,119,200,73
Car_196,Jaguar ,XK8 convertible 2dr,Sports,RWD,74995,68306,4.2,8,294,22,18,26,3980,102,187,71
Car_197,Jaguar ,XK8 coupe 2dr,Sports,RWD,69995,63756,4.2,8,294,22,18,26,3779,102,187,71
Car_198,Jaguar ,XKR convertible 2dr,Sports,RWD,86995,79226,4.2,8,390,19.5,16,23,4042,102,187,71
Car_199,Jaguar ,XKR coupe 2dr,Sports,RWD,81995,74676,4.2,8,390,19.5,16,23,3865,102,187,71
Car_200,Jaguar ,X-Type 2.5 4dr,Sedan,AWD,29995,27355,2.5,6,192,22,18,26,3428,107,184,70
Car_201,Jaguar ,X-Type 3.0 4dr,Sedan,AWD,33995,30995,3,6,227,21.5,18,25,3516,107,184,70
Car_202,Jeep ,Grand Cherokee Laredo,SUV,RWD,27905,25686,4,6,195,18.5,16,21,3790,106,181,72
Car_203,Jeep ,Liberty Sport,SUV,AWD,20130,18973,2.4,4,150,22,20,24,3826,104,174,72
Car_204,Jeep ,Wrangler Sahara convertible 2dr,SUV,AWD,25520,23275,4,6,190,17.5,16,19,3575,93,150,67
Car_205,Kia ,Amanti 4dr,Sedan,RWD,26000,23764,3.5,6,195,21,17,25,*,110,196,73
Car_206,Kia ,Optima LX 4dr,Sedan,RWD,16040,14910,2.4,4,138,26.5,23,30,3281,106,186,72
Car_207,Kia ,Optima LX V6 4dr,Sedan,RWD,18435,16850,2.7,6,170,23.5,20,27,3279,106,186,72
Car_208,Kia ,Rio 4dr auto,Sedan,RWD,11155,10705,1.6,4,104,28.5,25,32,2458,95,167,66
Car_209,Kia ,Rio 4dr manual,Sedan,RWD,10280,9875,1.6,4,104,29.5,26,33,2403,95,167,66
Car_210,Kia ,Rio Cinco,Wagon,RWD,11905,11410,1.6,4,104,29.5,26,33,2447,95,167,66
Car_211,Kia ,Sedona LX,Minivan,RWD,20615,19400,3.5,6,195,19,16,22,4802,115,194,75
Car_212,Kia ,Sorento LX,SUV,RWD,19635,18630,3.5,6,192,17.5,16,19,4112,107,180,73
Car_213,Kia ,Spectra 4dr,Sedan,RWD,12360,11630,1.8,4,124,28,24,32,2661,101,178,68
Car_214,Kia ,Spectra GS 4dr hatch,Sedan,RWD,13580,12830,1.8,4,124,28,24,32,2686,101,178,68
Car_215,Kia ,Spectra GSX 4dr hatch,Sedan,RWD,14630,13790,1.8,4,124,28,24,32,2697,101,178,68
Car_216,Land Rover,Discovery SE,SUV,AWD,39250,35777,4.6,8,217,14,12,16,4576,100,185,74
Car_217,Land Rover,Freelander SE,SUV,AWD,25995,23969,2.5,6,174,19.5,18,21,3577,101,175,71
Car_218,Land Rover,Range Rover HSE,SUV,AWD,72250,65807,4.4,8,282,14,12,16,5379,113,195,76
Car_219,Lexus ,ES 330 4dr,Sedan,RWD,32350,28755,3.3,6,225,24.5,20,29,3460,107,191,71
Car_220,Lexus ,GS 300 4dr,Sedan,RWD,41010,36196,3,6,220,21.5,18,25,3649,110,189,71
Car_221,Lexus ,GS 430 4dr,Sedan,RWD,48450,42232,4.3,8,300,20.5,18,23,3715,110,189,71
Car_222,Lexus ,GX 470,SUV,AWD,45700,39838,4.7,8,235,17,15,19,4740,110,188,74
Car_223,Lexus ,IS 300 4dr auto,Sedan,RWD,32415,28611,3,6,215,21,18,24,3285,105,177,68
Car_224,Lexus ,IS 300 4dr manual,Sedan,RWD,31045,27404,3,6,215,21.5,18,25,3255,105,177,68
Car_225,Lexus ,IS 300 SportCross,Wagon,RWD,32455,28647,3,6,215,21,18,24,3410,105,177,68
Car_226,Lexus ,LS 430 4dr,Sedan,RWD,55750,48583,4.3,8,290,21.5,18,25,3990,115,197,72
Car_227,Lexus ,LX 470,SUV,AWD,64800,56455,4.7,8,235,15,13,17,5590,112,193,76
Car_228,Lexus ,RX 330,SUV,AWD,39195,34576,3.3,6,230,21,18,24,4065,107,186,73
Car_229,Lexus ,SC 430 convertible 2dr,Sports,RWD,63200,55063,4.3,8,300,20.5,18,23,3840,103,178,72
Car_230,Lincoln ,Aviator Ultimate,SUV,RWD,42915,39443,4.6,8,302,15.5,13,18,4834,114,193,76
